id,context,message,gold_intent,difficulty,note
1,,I want to check my invoice,billing,easy,keyword: invoice
2,,why was I charged twice this month,billing,easy,keyword: charged
3,,my bill seems too high,billing,easy,keyword: bill
4,,when is my payment due,billing,easy,keyword: payment/due
5,,can you show me my latest statement,billing,medium,no core keyword; 'statement'
6,,how much do I owe,billing,hard,no billing keyword at all
7,,I think you took money from my account twice,billing,hard,"paraphrase, no keyword"
8,,what's my outstanding balance,billing,medium,'balance' not in keyword list
9,,did my last payment go through,billing,easy,keyword: payment
10,,I need a copy of last month's receipt,billing,hard,'receipt' not a keyword
11,,can I get an itemized breakdown of my charges,billing,medium,keyword: charges
12,,something looks wrong with what I'm being billed,billing,hard,paraphrase
13,,I was overcharged for international calls,billing,medium,keyword: charged
14,,remind me what my monthly total comes to,billing,hard,"no keyword, conversational"
15,,is there a late fee on my account,billing,medium,"fee/account, ambiguous-ish"
16,,my internet is not working,technical_support,easy,keyword: internet/not working
17,,the wifi keeps dropping,technical_support,easy,keyword: wifi
18,,I can't connect to the network,technical_support,easy,keyword: can't/connection
19,,my router keeps restarting,technical_support,easy,keyword: router
20,,everything is so slow today,technical_support,medium,"keyword: slow, but vague"
21,,the connection drops every few minutes,technical_support,medium,keyword: connection
22,,nothing loads when I open my browser,technical_support,hard,"no keyword, symptom described"
23,,my signal has been terrible since yesterday,technical_support,medium,keyword: signal
24,,the little lights on my modem are all red,technical_support,hard,no keyword; device symptom
25,,I keep getting kicked offline during calls,technical_support,medium,keyword: offline
26,,pages take forever to open,technical_support,hard,paraphrase of slow
27,,there's no service on my phone at all,technical_support,medium,keyword: service/no
28,,wifi works but it's painfully slow,technical_support,medium,keyword: wifi/slow
29,,my tv box won't turn on,technical_support,hard,"device issue, no keyword"
30,,I have an outage in my area,technical_support,easy,keyword: outage
31,,what plans do you offer,info_lookup,easy,keyword: plans/offer
32,,how much does the fiber package cost,info_lookup,easy,keyword: fiber/package/cost
33,,do you have any student discounts,info_lookup,easy,keyword: discount/student
34,,what are your roaming rates,info_lookup,easy,keyword: roaming
35,,tell me about your broadband speeds,info_lookup,easy,keyword: broadband/speeds
36,,is there a contract or is it month to month,info_lookup,medium,keyword: contract
